Timestamp,MMSI,Distance_km
2025-01-30 00:02:32,219018733,3884.4066830995735
2025-01-30 00:00:10,219019067,3701.203009384692
2025-01-30 00:04:31,219019547,3892.4306890201988
2025-01-30 00:02:21,219019934,3949.002945281885
2025-01-30 00:03:22,219020153,3934.4908481169373
2025-01-30 00:05:37,219020391,3994.6462122731573
2025-01-30 00:01:50,219020566,3965.511412055949
2025-01-30 00:03:10,219020900,3923.7718832189285
2025-01-30 00:05:26,219021119,3874.8318623703008
2025-01-30 00:02:54,219022124,3772.597987531716
2025-01-30 00:01:19,219022267,3910.395777123558
2025-01-30 00:05:40,219022362,4017.732219209079
2025-01-30 00:02:43,219022518,3921.269417706845
2025-01-30 00:01:55,219022580,3949.710338454831
2025-01-30 00:02:40,219022614,3990.736813853685
2025-01-30 00:01:43,219023018,3923.7815836011077
2025-01-30 00:08:55,219023030,3901.8762367553722
2025-01-30 00:03:39,219023312,3893.6092136338707
2025-01-30 00:01:57,219023531,4007.7784956532473
2025-01-30 00:05:08,219023671,3897.442425294345
2025-01-30 00:05:41,219023811,4019.477545846393
2025-01-30 00:02:35,219024077,3948.152980318799
2025-01-30 00:02:53,219024185,3814.5982732345524
2025-01-30 00:00:17,219024411,3766.3046207000707
2025-01-30 00:01:52,219024815,3875.2324190870836
2025-01-30 00:01:50,219024915,3772.4813978775983
2025-01-30 00:01:32,219025072,4000.272022538694
2025-01-30 00:01:22,219025125,3958.394050207265
2025-01-30 00:04:36,219025446,3932.7101601386457
2025-01-30 00:02:53,219025523,3987.8030434364628
2025-01-30 00:08:29,219026048,4047.0954222997093
2025-01-30 00:02:07,219026300,3922.9260667855106
2025-01-30 00:01:32,219026305,3922.9710290651183
2025-01-30 00:02:58,219026457,3899.241025549696
2025-01-30 00:02:21,219026536,3772.551161140199
2025-01-30 00:00:31,219027290,3844.8440303872962
2025-01-30 00:02:29,219028008,3699.2122748243805
2025-01-30 00:01:00,219028256,3741.7172241970866
2025-01-30 00:02:52,219028507,3923.808003409396
2025-01-30 00:05:51,219028635,4007.718856382007
2025-01-30 00:05:16,219028645,3964.2564979128447
2025-01-30 00:01:46,219028878,3875.2929489677263
2025-01-30 00:00:52,219029135,3934.6783944053614
2025-01-30 00:04:21,219029338,3900.007904322523
2025-01-30 00:02:47,219029349,3964.5776592088337
2025-01-30 00:05:46,219029367,3987.25345688168
2025-01-30 00:04:15,219029386,3899.0040076950486
2025-01-30 00:03:16,219029523,3699.4091021081877
2025-01-30 00:05:04,219029531,3895.9827191181435
2025-01-30 00:02:16,219029714,3772.544960493661
2025-01-30 00:07:32,219029878,3996.2400166397997
2025-01-30 00:05:39,219030040,3946.853206598312
2025-01-30 00:02:20,219030124,3772.1380290673083
2025-01-30 00:01:09,219030336,3764.4970328632576
2025-01-30 00:02:08,219030412,3713.121719799627
2025-01-30 00:01:56,219030887,3862.7578068410257
2025-01-30 00:01:51,219031164,3826.486984923792
2025-01-30 00:02:37,219031192,3915.5829747341163
2025-01-30 00:02:34,219031421,3978.7271042632624
2025-01-30 00:03:17,219031423,3729.7350746145376
2025-01-30 00:07:58,219031520,3782.764782869931
2025-01-30 00:01:41,219031529,3919.6482982311077
2025-01-30 00:09:04,219031721,3977.6171103168513
2025-01-30 00:02:46,219031731,3964.0971011246115
2025-01-30 00:01:50,219031896,3923.787820905469
2025-01-30 00:02:26,219032276,3727.2822065539376
2025-01-30 00:09:19,219032365,4007.6286827574263
2025-01-30 00:01:44,219032616,3827.690317608878
2025-01-30 00:02:00,219032845,3988.6893349358957
2025-01-30 00:01:25,219032946,3996.1799325448364
2025-01-30 00:02:49,219033037,3823.27720842446
2025-01-30 00:04:41,219033077,4041.0337898308253
2025-01-30 00:02:47,219033089,4041.218915763067
2025-01-30 00:02:39,219033187,3901.890555228363
2025-01-30 00:01:15,219033214,3900.102486354189
2025-01-30 00:01:06,219033266,3971.6061877045863
2025-01-30 00:02:23,219034187,3817.0363177899135
2025-01-30 00:01:33,219034334,3804.2988868412463
2025-01-30 00:01:45,219111114,3730.2254262350943
2025-01-30 00:04:28,219173000,3988.8842133987528
2025-01-30 00:02:54,219236000,3712.8508445149273
2025-01-30 00:02:57,219305000,3971.4470266813564
2025-01-30 00:01:57,219440000,3882.8077989656244
2025-01-30 00:00:32,219570000,3950.2826379326025
2025-01-30 00:01:32,219615000,3950.4694390987593
2025-01-30 00:03:27,219669000,3950.236780322192
2025-01-30 00:00:28,219849000,3729.7237760669827
2025-01-30 00:02:14,219944000,3765.9610709324947
2025-01-30 00:04:31,219997000,3896.3499244218237
2025-01-30 00:00:55,220257000,3716.9774502620053
2025-01-30 00:02:39,220490000,3813.5759864984157
2025-01-30 00:02:32,228085000,3948.860239876037
2025-01-30 00:02:17,229364000,3701.912631268521
2025-01-30 00:01:07,231887000,3730.0902911103294
2025-01-30 00:02:41,235078256,3804.334776816799
2025-01-30 00:01:07,235091458,4041.093359314627
2025-01-30 00:02:22,238056000,3951.3691651955724
2025-01-30 00:02:11,244995000,3994.664167435615
2025-01-30 00:01:22,245875000,4040.9082208871937
2025-01-30 00:01:39,246108000,3912.61045073049
2025-01-30 00:02:24,246645000,3944.753813409759
2025-01-30 00:02:39,246668000,3933.6414969476746
2025-01-30 00:05:02,246774000,4094.5861682463674
2025-01-30 00:05:02,246793000,4003.32913556707
2025-01-30 00:04:48,248219000,3988.5578314615736
2025-01-30 00:01:31,255805882,3923.970990443799
2025-01-30 00:02:58,255806224,3911.95606063994
2025-01-30 00:02:42,255806258,3939.4600486263976
2025-01-30 00:02:43,255806370,3885.962973069196
2025-01-30 00:01:34,255915569,3950.0889783030475
2025-01-30 00:02:42,255915769,4040.9042405266005
2025-01-30 00:02:43,256038000,3933.674330983627
2025-01-30 00:09:19,257048860,3741.6791486613097
2025-01-30 00:00:17,257562000,3701.0347472743993
2025-01-30 00:01:21,257956000,3707.4002091752964
2025-01-30 00:01:45,258003290,3822.406412968592
2025-01-30 00:02:23,259027440,3935.382899260371
2025-01-30 00:02:54,259222000,3949.3401383279556
2025-01-30 00:08:01,261002545,3917.0645985177152
